issue_number,title,description,label,all_labels,created_at,closed_at,url
329835,Update loop in model picker causes lag,"1. Open VS Code
2. Notice computer fans spin and lagging, with higher renderer CPU

<img width=""502"" height=""186"" alt=""Image"" src=""https://github.com/user-attachments/assets/5a848b90-0738-4b1d-a31d-82fa7dcf88bc"" />

Profile shows repeated calls to model list updates

[Trace-20260809T100800.json.gz](https://github.com/user-attachments/files/30877070/Trace-20260809T100800.json.gz)",bug,"bug,important,freeze-slow-crash-leak,insiders-released",2026-08-09T17:12:29Z,2026-08-10T16:58:47Z,https://github.com/microsoft/vscode/issues/329835
329830,Agent Host renders shell read helpers as terminal commands,"<img width=""608"" height=""388"" alt=""Image"" src=""https://github.com/user-attachments/assets/7f50c064-600c-4f37-b242-0ae1242b1284"" />

## Type of issue

Bug

## Description

Agent Host tool calls for `read_bash` and `read_powershell` can render as terminal commands instead of generic “Read Terminal” tool invocations. The chat transcript shows `Ran` followed by the helper's JSON arguments, such as `shellId` and `delay`, as though that JSON were a command line.

## Expected behavior

Shell read helpers should remain generic tool invocations with the “Read Terminal” presentation. Their result should contain text output, but they should not receive terminal rendering metadata.

## Cause

The Copilot SDK may include `shell_exit` metadata when a shell read helper retrieves output after the underlying command completes. Agent Host synthesized terminal result content for any completion carrying that metadata, rather than limiting terminal synthesis to primary `bash` and `powershell` command tools.

## Related pull request

Draft fix: [#329791](https://github.com/microsoft/vscode/pull/329791)

(Written by Copilot)",bug,"bug,verified,insiders-released,agent-host",2026-08-09T16:27:51Z,2026-08-09T18:25:02Z,https://github.com/microsoft/vscode/issues/329830
329796,Agent Host session briefly appears twice while committing,"When a new Agent Host session sends its first request, the Sessions list can briefly show two identical rows before they coalesce.

The provider temporarily owns two `ISession` representations for the same resource:

1. the sent draft skeleton, used to preserve in-progress UI state;
2. the committed adapter inserted into the session cache by `SessionAdded`.

`getSessions()` currently advertises both during the replacement window. The duration became more noticeable when host-wide session listing became slower, but the underlying race affects every Agent Host session type.

Draft fix: [#329794](https://github.com/microsoft/vscode/pull/329794)

(Written by Copilot)",bug,"bug,verified,insiders-released,agent-host",2026-08-09T03:49:42Z,2026-08-09T18:55:50Z,https://github.com/microsoft/vscode/issues/329796
329779,Changes view mode action is missing for single-file diff editors,"## Description

When the Changes details list is visible beside a single-file diff editor in the Agents window single-pane layout, the editor header overflow does not offer an action to switch the Changes details between List and Tree views. The same action is available while the multi-file Changes editor is active.

## Steps to Reproduce

1. Enable `sessions.layout.singlePaneDetailPanel` and reload the Agents window.
2. Open a workspace session that contains changes.
3. From the Changes details, open one changed file in a single-file diff editor.
4. Open the editor header overflow menu.

**Expected:** The menu contains **View as Tree** when Changes uses List view, or **View as List** when Changes uses Tree view.

**Actual:** Neither view-mode action is shown.

## Verification

1. Repeat the reproduction steps with the Changes details in List view.
2. Confirm **View as Tree** appears in the single-file diff editor header overflow.
3. Run it and confirm the Changes details switch to Tree view.
4. Reopen the overflow and confirm **View as List** appears instead.
5. Run it and confirm the Changes details switch back to List view.
6. Activate the multi-file Changes editor and confirm the same actions still work there.
7. Hide the Changes details and confirm the List/Tree action is not shown.",bug,"bug,verified,insiders-released,agents-window",2026-08-08T21:23:56Z,2026-08-09T07:46:42Z,https://github.com/microsoft/vscode/issues/329779
329771,New Modern UI: Windows title bar buttons appear visually inconsistent,"**Does this issue occur when all extensions are disabled?:** Yes

* **VS Code Version:** 1.130.0
* **OS Version:** Windows 11
* **VS Code Setup:** System Setup
* **Commit:** `1b6a188127eeaf9194f945eb6eb89a657e93c54c`
* **Date:** 2026-07-22T14:55:04Z
* **Electron:** 42.6.0
* **ElectronBuildId:** 14623276
* **Chromium:** 148.0.7778.280
* **Node.js:** 24.18.0
* **V8:** 14.8.178.38-electron.0
* **OS:** Windows_NT x64 10.0.28000

### Steps to Reproduce

1. Enable the **New Modern UI** experimental feature.
2. Look at the Windows title bar.
3. Notice that the **Minimize, Maximize/Restore, and Close** buttons appear visually inconsistent with the rest of the title bar and look out of place.

### Expected Behavior

The Windows title bar buttons should match the styling of the new Modern UI and look consistent with the rest of the interface.

### Actual Behavior

The **Minimize, Maximize/Restore, and Close** buttons appear outdated/inconsistent and do not match the styling of the new Modern UI.

I have attached a screenshot below showing the issue.

<img width=""451"" height=""244"" alt=""Image"" src=""https://github.com/user-attachments/assets/3c475b3b-4bd4-43e8-b568-9d0a65a480ee"" />",bug,"bug,titlebar,modernization",2026-08-08T19:03:49Z,2026-08-10T08:14:05Z,https://github.com/microsoft/vscode/issues/329771
329751,Built-in skills cannot be disabled from the Customizations UI in the Agents window,"Does this issue occur when all extensions are disabled?: Yes

- VS Code Version: 1.133.0 (`main`, found via source analysis)
- OS Version: N/A (platform-independent)

### Steps to Reproduce

1. Open the **Agents** window.
2. Open the **Customizations** editor and select the **Skills** section.
3. Find a skill under the **Built-in** group and invoke **Disable** from its context menu.

**Expected:** the skill is shown as disabled and is no longer sent to the agent host.

**Actual:** nothing happens. The skill stays enabled in the list, and it is still bundled and sent to the agent host. The setting *is* persisted to storage — it just is never read back.

### Root cause

There are two independent ""disabled"" stores for customizations:

| Store | Storage key | Written by |
|---|---|---|
| `IPromptsService.get/setDisabledPromptFiles(type)` | `chat.disabledPromptFiles.<type>` | the **Disable/Enable** actions in `aiCustomizationManagement.contribution.ts` |
| `AgentCustomizationSyncProvider.isDisabled(uri)` | `customizationSync.disabled.<harnessId>` | only `pluginListWidget.ts` (plugins) |

The Disable action writes to store #1, but the two places that matter in the Agents window read only store #2 (or neither):

1. `enumerateLocalCustomizationsForHarness` (`agentHostLocalCustomizations.ts`) computed `disabled` from `syncProvider.isDisabled(uri)` only, so a user-disabled built-in skill still made it into the synced bundle and was shipped to the agent host.
2. `SessionsCustomizationHarnessService` registers no built-in harnesses, so `isAgentHostTarget()` always matches in the Agents window and `aiCustomizationItemsModel` always selects `PureItemProviderItemSource`. That source built its list purely from the provider (i.e. from the bundle) and never consulted `getDisabledPromptFiles`.

Net effect: the Disable button rendered, wrote to storage, and nothing downstream ever read it.

### Notes for the fix

Both ends have to change together. Fixing only the bundling side makes a disabled built-in skill drop out of the bundle, so the provider stops reporting it and it **disappears from the Skills list entirely** — leaving no way to re-enable it, since the **Enable** menu item is gated on `disabled === true`. The item source must therefore also merge built-in skills in directly from the prompts service so they stay listed while disabled.

Related: #329753 (the two-store split that caused this).
",bug,"bug,verified,insiders-released,chat",2026-08-08T07:18:06Z,2026-08-09T03:20:14Z,https://github.com/microsoft/vscode/issues/329751
329721,Agent Host fails to load user settings at startup,"
## Description

When the Agent Host process starts, it attempts to initialize its configuration from a `vscode-userdata:` URI even though the process file service only registers the disk-backed `file:` provider. The configuration watcher consequently fails before Agent Host providers finish initializing.

This prevents Agent Host from loading the default profile's user settings, including network settings such as `http.proxy` that its request stack depends on.

## Steps to Reproduce

1. Start VS Code Insiders with Agent Host enabled.
2. Start or restore an Agent Host session.
3. Inspect `agenthost.log` immediately after process startup.

## Actual Behavior

Startup logs contain errors similar to:

```text
Agent Host process started successfully
CodeExpectedError: ENOPRO: No file system provider found for resource 'vscode-userdata:<user-data>/User'
CodeExpectedError: ENOPRO: No file system provider found for resource 'vscode-userdata:<user-data>/User/settings.json'
```

The Agent Host `ConfigurationService` is created with `environmentService.userRoamingDataHome`, whose scheme is `vscode-userdata`. The Agent Host entry points register `Schemas.file`, but do not register a `vscode-userdata` provider, so the settings file cannot be watched or loaded.

## Expected Behavior

Agent Host should load the default profile's disk-backed `User/settings.json` without file-system-provider errors so settings required by Agent Host services are available at startup.

## Related

- Related to #329116, which contains the same startup error while reporting missing Claude models after the first Remote SSH connection.
- Related to #328736, where the same startup error was observed while investigating disappearing Remote SSH sessions.",bug,"bug,verified,config,insiders-released,agent-host",2026-08-07T23:36:18Z,2026-08-08T00:30:34Z,https://github.com/microsoft/vscode/issues/329721
329720,Truncated  inline terminal output agent host copilot,"My repro command:

```
jq -s -r '.[] | ""#\(.number) | \(.state)\(if .isDraft then "" draft"" else """" end) | merged=\(.mergedAt // ""-"") | closed=\(.closedAt // ""-"") | author=\(.author) | \(.title)\nBODY: \(.body)\n""' /var/folders/4x/gqnk1fmj2nxgg4kfnd67wgr40000gn/T/1786144879587-copilot-tool-output-16249-1b076ecf-bd18-4672-9340-ba19ee541e86.txt
``` 

<img width=""714"" height=""183"" alt=""Image"" src=""https://github.com/user-attachments/assets/747e4b3f-591f-42a8-84e3-9b5fe158e412"" />

Now that shell_exit isnt getting filtered, maybe its taking different path and ending up with truncation? 
",bug,"bug,verified,terminal,insiders-released,agent-host",2026-08-07T23:24:08Z,2026-08-08T02:53:06Z,https://github.com/microsoft/vscode/issues/329720
329606,Update button in wrong place,"<img width=""483"" height=""48"" alt=""Image"" src=""https://github.com/user-attachments/assets/32a1c0e9-47a4-448d-8c55-2b23f864250c"" />


I assume this is coming from a change in the modern ui",bug,"bug,verified,install-update,insiders-released",2026-08-07T15:21:17Z,2026-08-07T21:47:46Z,https://github.com/microsoft/vscode/issues/329606
329443,voice mode response not read out upon returning focus unless chat input gets focused,"In chat session list, there's a speaker icon to play a stored response/confirmation for a voice mode session.

When I click that session to open it, I do not hear the response/confirmation until I click the chat input box. 

I should hear it when I switch to that session.",bug,"bug,verified,insiders-released,voice-mode",2026-08-06T15:45:46Z,2026-08-07T00:51:50Z,https://github.com/microsoft/vscode/issues/329443
329439,"when going from chat session list to new session, voice mode listening state does not persist","1. on chat sessions list in normal vscode window, start voice mode session
2. new session created
3. 🐛 voice mode should stay activated but does not

",bug,"bug,verified,insiders-released,voice-mode",2026-08-06T15:41:24Z,2026-08-07T02:49:00Z,https://github.com/microsoft/vscode/issues/329439
329435,Pull Requests pill popover blinks and closes unexpectedly,"### Description

The `<n> Pull Requests` pill doesn't work as expected. When I click on it, the popover with the list of pull requests shows just blinks and closes again by itself.

### Issue Details

Item|Value
---|---
Issue Category|Bug
Target|Agents Window
VS Code Version|Code - Insiders 1.133.0-insider (780ea331b2861816fe6bb8215d812933c81df83b, 2026-08-06T02:53:01Z)
OS Version|Darwin arm64 25.5.0

<details>
<summary>System Info</summary>

Item|Value
---|---
VS Code Version|Code - Insiders 1.133.0-insider (780ea331b2861816fe6bb8215d812933c81df83b, 2026-08-06T02:53:01Z)
OS Version|Darwin arm64 25.5.0
CPUs|Apple M5 Max (18 x 2400)
GPU Status|2d_canvas: enabled<br>GPU0: VENDOR= 0x106b [Google Inc. (Apple)], DEVICE=0x0000 [ANGLE (Apple, ANGLE Metal Renderer: Apple M5 Max, Version 26.5.2 (Build 25F84))], DRIVER_VENDOR=Apple, DRIVER_VERSION=26.5.2 *ACTIVE*<br>Machine model name: Mac<br>Machine model version: 17.6<br>direct_rendering_display_compositor: disabled_off_ok<br>gpu_compositing: enabled<br>multiple_raster_threads: enabled_on<br>opengl: enabled_on<br>rasterization: enabled<br>raw_draw: disabled_off_ok<br>skia_graphite: enabled_on<br>trees_in_viz: disabled_off<br>video_decode: enabled<br>video_encode: enabled<br>webgl: enabled<br>webgpu: enabled<br>webnn: disabled_off
Load (avg)|8, 4, 3
Memory (System)|128.00GB (61.70GB free)
Process Argv|--crash-reporter-id f3441869-abe8-416f-bbd5-01c71ecec52f
Screen Reader|no
VM|0%
User Agent|Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Code-Insiders/1.133.0-insider Chrome/148.0.7778.280 Electron/42.8.0 Safari/537.36
Installation pure|true

</details>

<details>
<summary>Extensions (4)</summary>

Name|Identifier|Author|Version
---|---|---|---
ESLint|dbaeumer.vscode-eslint|dbaeumer|3.0.34
Spanish Language Pack for Visual Studio Code|ms-ceintl.vscode-language-pack-es|MS-CEINTL|1.131.2026072717
Jupyter Keymap|ms-toolsai.jupyter-keymap|ms-toolsai|1.1.2
Chat Customizations Evaluations|ms-vscode.vscode-chat-customizations-evaluations|ms-vscode|1.1.2026072818

Theme extensions: 9

</details>

<details>
<summary>A/B Experiments</summary>

```
vsliv368:30146709
pythonvspyt551:31249597
nativeloc1:31118317
dwcopilot:31158714
dwoutputs:31242946
copilot_t_ci:31333650
g012b348:31231168
pythonrdcb7:31268811
pythonpcpt1cf:31399617
6518g693:31302842
envsactivate1:31349248
editstats-enabled:31346256
cloudbuttont:31366566
3efgi100_wstrepl:31403338
gpt-41-copilot-3x:31561746
cp_cls_t_966_ss:31526232
4je02754:31481634
c3h7c220:31478652
cp_cls_c_1081:31454833
conptydll_true:31485575
e9c30283:31453065
test_treatment2:31471001
46204921:31447328
control_6dc23131:31555649
idci7584:31454084
e3e4d672:31454087
ei9d7968:31462942
nes-extended-on:31455475
89g7j272:31506658
7e884298:31462391
7e187181:31482583
i2gc6536:31472020
52612955:31508042
h08i8180:31475367
ddid_c:31478205
hmra_i5g22:-9
7df3h592:31491241
cp_cls_t_1082:31535311
logging_enabled_new:31490725
jb_cp_cls_t_632:31543129
32d76977:31503652
ha629193:31508444
cdk-lw-on:31524445
nes-vscode-team-custom-1:31560999
f9bf7985:31514991
a1ije391_t:31533808
g4a0e106:31510899
41836166:31537719
jbcp_cls_pctr_t:31531130
3f904173:31522231
cp_intellij_t_nes:31548657
jf4hg949:31526829
hide-eh-duplicates:31533831
h561g132:31531228
ah-cli-default-hide-local:31534101
ihg5j128:31534457
f412h606:31540278
b1c25fc8:31539904
sandbox-ui-on-2:31543161
enable_editor_pane_layout:31551200
52258b4d:31547953
36h42362:31560305
c7c27ce7:31551212
voicemodeon:31556058
i762h559:31552003
6577i413_copy:31558653
8hc4g144:31558143
1532g621_copy:31554310
gpt56sol_default:31557178
treatment-23-1:31555779
unuse_dynamic_mcp:31555281
maidictation:31561119
0c1h4866:31561036
vrbsty_fls:31561057
cch_brk_tru:31561680
ai4g2856_c:31561844
be7id924_c:31561848
```

</details>

<!-- generated by issue reporter -->

### Attachments

https://github.com/user-attachments/assets/4eda6770-f847-43d7-8cd7-f1327ff50112

",bug,"bug,verified,agents-window",2026-08-06T15:35:23Z,2026-08-07T08:55:05Z,https://github.com/microsoft/vscode/issues/329435
329427,seeing border around voice mode/ dictation when the other is disabled,Should not see this around the action when only one is present,bug,"bug,verified,insiders-released,dictation,voice-mode",2026-08-06T15:11:16Z,2026-08-07T01:55:51Z,https://github.com/microsoft/vscode/issues/329427
